,number,new_comments
0,0,moment come back song english improve enough actually understand lyric
1,0,feel look beautiful black hair blonde hair
2,0,kate great lyric song great
3,0,finally find reason tarzan never leave jungle
4,0,one else randomly remember come back however piece much well httpsmyoutubecomwatchvr52weimspxafeatureyoutube
5,0,let honest woman rule world
6,0,you re still respect
7,0,first song car radio cancer diagnosis sit car hospital car park let rip full volume
8,0,povessa era sua música preferida quando vc tinha 8 anos e até hj é
9,0,6 year old see mom want tiger mom tf
10,0,remember obsess song young
11,0,song rule world forever never get old
12,0,dear reader do nt know do nt know probably even live country look different speak
13,0,remember teacher playing song assembly kid legit remember year later man bring memory
14,0,pray single tiktoker find ruin dumb dance
15,0,I m cry like literally life peaceful come everything way toxic sad
16,0,2021 you re still listen masterpiece you re legend
17,0,realize would never happen real life
18,0,else remember first time listen
19,0,july 2021let see many people listen masterpiece
20,0,watch every katys music video right announce pregnancy
21,0,whenever song complete 3billion tell feel 3rd billion view
22,0,essa música foi umas das minhas preferidas quando tinha 7 anos e hoje estou com 15 anos
23,0,there s something imagination katys video
24,0,guy let make 3b make 1st female song 3b
25,0,child go tell grandchild forest look like
26,0,miss western song be nt wap grow music hit different
27,0,nostálgico assitia canal 5
28,0,listen midnight get ready fight exist enemy
29,0,ca nt believe old song feel like yesterday
30,0,female artist reach 3b mark youtube
31,0,popular opinion katy perry shape childhood
32,0,love say loud lion clearly tiger
33,0,thank katy need song today
34,0,may get less award she s one remain first woman ever reach 3b history
35,0,first english song ever listen mean hear song 7 year
36,0,song clover cage good luck two song keep sane tough time want send love everyone want everyone know thing get well togetheri love
37,0,hearing song yr mean ur old
38,0,let honest song be nt recommend search
39,0,7 yr since music video release still yet grammy sad view mv youtube female international artist world
40,0,grammy thing katy hundred grammy grammys trash
41,0,moment come back song english improve enough actually understand lyric
42,0,crazy many people come back everyday song legendary
43,0,song teach confident
44,0,aooro katy parry adoro vc eu amo mais suas musicas antigas como essa akakkaka
45,0,think katy perry perform song oneplus music event mumbai
46,0,omg love song gon na hear meh roar
47,0,aunt show song young always listen song give much nostalgia
48,0,love see support she s get comment
49,0,7 year later you re watch you re legend
50,0,back corona beer tik tok song life actually good
51,0,insane much impact song
52,0,appreciate fact jungle queen view female video ever youtube
53,0,do nt care year I m still gon na listen masterpiece edit holy shit how d get many like
54,0,good song universe
55,0,she s much beautiful
56,0,july 2021 let see many people still listen masterpiece
57,0,need back make song like
58,1,katy perry dark horse taylor swift white horse lil nas x get horse back
59,1,crazy many people come back everyday song legendary
60,1,remember world shock mv release
61,1,know gon na come well choose carefully
62,1,still listen really often do nt think ill ever completely stop
63,1,refuse think song 6 year old
64,1,31b make another history katycat let celebrate
65,1,sabe que la canción es icónica cuando la sección de comentarios todavía está viva cualqui latinos latinas escuchar aquí
66,1,still listen song 7 year bring back memory
67,1,fact amount spend mv astonishing like diamond brace already 14 m dollar amount spend really justify mv become one iconic mvs time
68,1,billie eilish make weird music video katy perry lady gaga that s cute
69,1,pay attention lyric bit ride like rollercoaster turn bedroom fair swear sound innocent back day
70,1,jesus quer preencher seu vazio curar suas feridas darlhe amor que você pode nunca ter tido e salválo esteja perto pai novamente tudo que ele deseja é ser seu amigo e ter intimidade com você que mundo oferece é vazio e passageiro mas que deus pode dar você é eterno
71,1,happy 31 billion view dark horse
72,1,13 m dislikes great song
73,1,7 year pass song never get old
74,1,wish katy could give huge impact cuz 7 year ago especially roar dark horse release she s pop music
75,1,ever feel stupid remember people dislike masterpiece
76,1,31 billion view congrats queen katy perry
77,1,31 billion view congratulation katycat let go 4 billion view
78,1,good fell scroll comment find comment post like 2 hour ago know song never age
79,1,vengo confesar algo cuando tenia como 7 años nos pidieron en la escuela que cantaramos yo cante este tremendo rolon alto flow que cargaba ahora ya casi tengo 14 en fin katy te amo fui tu fan desde los 6 año
80,1,sou faraó sou faraó ninguém dete ninguém deteeeee sou faraó sou faraó meu nome é julia
81,1,she s powerful always say dark horse
82,1,alguém ouvindo em novembro de 2019
83,1,ca nt believe 6 year since song come
84,1,31 bilhões
85,1,happy 31b dark horse
86,1,people listen masterpiece july 2021 legend
87,1,she s female artist history 2video 3billion view roar dark horse
88,1,popular opinion dark horse never get old
89,1,صلوا على رسول الله ومن معه من اخوانه
90,1,music vid everything
91,1,let honest song be nt recommend search
92,1,aside song amazingly catchy mvs always creative ca nt even decide one favorite goddess 3
93,1,miss old day katy perry taylor swift nicki minaj beyoncèlady gaga rihanna releasing hit hit
94,1,july 07 2021still listening song
95,1,that s old joke jeffery dahmer say eat heart like jeffrey dahmer he s cannibal
96,1,anyone else vibe 7 year later katy bring memory back well time
97,1,amo esto quien lo en 2019
98,1,battery 1 listening
99,1,greek reference aphrodite egyptian base video
100,1,do nt worry you re one listen masterpiece 2021
101,1,music video achieve 100 million view 119 day let continue
102,1,hacer tareas darle stream dark horse electric
103,1,listen old song survive coronavirus
104,1,mv good even well haha
105,1,cade os brasileros 2019
106,1,legendary song go reach 31b soon
107,1,omgtomorrow would 31 billion
108,1,fun fact even 6 year comment section still alive thank 2k like
109,1,jesus want fill emptiness heal wound give love may never save return close father want friend intimacy world offer empty fleeting god give eternal
110,1,common dude use literally everywhere every makeup vid keep great song great ig
111,1,look totally egyptian royalty also talk greek goddess love
112,1,say yes hot cheeto say I m like girl
113,1,ca nt believe people discover masterpiece tik tok
114,1,remember young song come remember old time make cry
115,1,2 month away turn 13 come
116,1,sou farao sou faraooooo ninguem dete ninguem deteeeee sou farao
117,1,love egyptian outfit makeup accessory
